Name,Income source,percentage
Kim,"Reality TV Show: ""Keeping Up with the Kardashians"" ",40
Kim,Personal Branding and endorsements,30
Kim,"Mobile App: ""Kim Kardashian: Hollywood""",10
Kim,KKW Beauty and KKW Fragrance,20
Kylie ,Kylie Cosmetics and Kylie Skin,80
Kylie ,Social Media and endorsements,10
Kylie ,Fashion and apparel collaborations,10
Khloe,"Reality TV Show: ""Keeping Up with the Kardashians""",40
Khloe,Personal Branding and endorsements,30
Khloe,"Good American denim and apparel line,",20
Khloe,"TV series:""Revenge Body"" ",10
Kendall,Fashion Modeling,70
Kendall,Social Media and endorsements,10
Kendall,"Reality TV Show: ""Keeping Up with the Kardashians""",10
Kendall,Fashion and apparel collaborations,10
Kourtney,"Reality TV Show: ""Keeping Up with the Kardashians""",30
Kourtney,Personal Branding and endorsements,30
Kourtney,A lifestyle website:Poosh,20
Kourtney,Health and Wellness brand,20
