Years,Kim,Kylie,Khloe,Kendall,Kourtney
2010,20000000,0,8422525,0,6755241
2011,20707000,0,10795296,0,9181141
2012,38776799,0,13239423,0,11674576
2013,68758950,1238000,15687947,3000000,13789909
2014,94758079,4284308,18213803,3500000,15970479
2015,52548696,8771311,20888537,4000000,18291097
2016,14720000,11903713,23623919,10000000,20428484
2017,198000000,50000000,30000000,22000000,23379070
2018,243000000,200000000,32000000,22500000,28083793
2019,310700000,600000000,40000000,26500000,50282739
2020,900000000,900000000,45000000,40000000,55827904
2021,1400000000,710000000,52000000,45000000,60000000
2022,1800000000,750000000,60000000,50000000,65000000
2023,1800000000,750000000,60000000,60000000,70000000
