Name,Income source,percentage
Kim,"""Keeping Up with the Kardashians"" ",40
Kim,Personal Branding & endorsements,30
Kim,"Mobile App:""Kim Kardashian: Hollywood""",10
Kim,KKW Beauty & KKW Fragrance,20
Kylie ,Kylie Cosmetics & Kylie Skin,80
Kylie ,Social Media & endorsements,10
Kylie ,Fashion & apparel collaborations,10
Khloe,"""Keeping Up with the Kardashians""",40
Khloe,Personal Branding & endorsements,30
Khloe,Good American,20
Khloe,"TV series:""Revenge Body"" ",10
Kendall,Fashion Modeling,70
Kendall,Social Media & endorsements,10
Kendall,"""Keeping Up with the Kardashians""",10
Kendall,Fashion & apparel collaborations,10
Kourtney,"""Keeping Up with the Kardashians""",30
Kourtney,Personal Branding & endorsements,30
Kourtney,Lifestyle website:Poosh,20
Kourtney,Health and Wellness brand,20
